title,text,label
Cure for Aging Discovered in Remote Village,The celebrity stated that secret documents reveal shocking information about the president.,fake
Government Announces New Education Reforms,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
Economy Shows Signs of Recovery,The new study conducted by international researchers shows walking improves heart health.,real
New Study Reveals Health Benefits of Walking,The new study conducted by international researchers shows walking improves heart health.,real
Government Announces New Education Reforms,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
Economy Shows Signs of Recovery,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
New Study Reveals Health Benefits of Walking,The education ministry has proposed reforms to modernize the curriculum.,real
Government Announces New Education Reforms,The education ministry has proposed reforms to modernize the curriculum.,real
Government Announces New Education Reforms,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
Aliens Land in Central Park,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake
Economy Shows Signs of Recovery,The education ministry has proposed reforms to modernize the curriculum.,real
Economy Shows Signs of Recovery,The new study conducted by international researchers shows walking improves heart health.,real
Government Announces New Education Reforms,The education ministry has proposed reforms to modernize the curriculum.,real
New Study Reveals Health Benefits of Walking,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
Cure for Aging Discovered in Remote Village,The celebrity stated that secret documents reveal shocking information about the president.,fake
Government Announces New Education Reforms,The new study conducted by international researchers shows walking improves heart health.,real
Government Announces New Education Reforms,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
Celebrity Reveals Secret Government Plans,The celebrity stated that secret documents reveal shocking information about the president.,fake
Economy Shows Signs of Recovery,The new study conducted by international researchers shows walking improves heart health.,real
Government Announces New Education Reforms,The education ministry has proposed reforms to modernize the curriculum.,real
Aliens Land in Central Park,The celebrity stated that secret documents reveal shocking information about the president.,fake
Economy Shows Signs of Recovery,The education ministry has proposed reforms to modernize the curriculum.,real
Government Announces New Education Reforms,The education ministry has proposed reforms to modernize the curriculum.,real
Celebrity Reveals Secret Government Plans,The celebrity stated that secret documents reveal shocking information about the president.,fake
Cure for Aging Discovered in Remote Village,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake
Aliens Land in Central Park,The celebrity stated that secret documents reveal shocking information about the president.,fake
Aliens Land in Central Park,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake
Cure for Aging Discovered in Remote Village,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake
Cure for Aging Discovered in Remote Village,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake
Celebrity Reveals Secret Government Plans,The celebrity stated that secret documents reveal shocking information about the president.,fake
Aliens Land in Central Park,An isolated village claims its elders live up to 150 due to a secret herbal tea.,fake
Aliens Land in Central Park,An isolated village claims its elders live up to 150 due to a secret herbal tea.,fake
Government Announces New Education Reforms,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
Economy Shows Signs of Recovery,The new study conducted by international researchers shows walking improves heart health.,real
Economy Shows Signs of Recovery,The education ministry has proposed reforms to modernize the curriculum.,real
Government Announces New Education Reforms,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real
Cure for Aging Discovered in Remote Village,The celebrity stated that secret documents reveal shocking information about the president.,fake
Economy Shows Signs of Recovery,The new study conducted by international researchers shows walking improves heart health.,real
Celebrity Reveals Secret Government Plans,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake
Cure for Aging Discovered in Remote Village,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake
Celebrity Reveals Secret Government Plans,The celebrity stated that secret documents reveal shocking information about the president.,fake
Economy Shows Signs of Recovery,The new study conducted by international researchers shows walking improves heart health.,real
Economy Shows Signs of Recovery,The education ministry has proposed reforms to modernize the curriculum.,real
Aliens Land in Central Park,An isolated village claims its elders live up to 150 due to a secret herbal tea.,fake
